Region,Governorate,Income_Category,Date,GDP_Per_Capita_USD,Organic_Waste_Percentage,Plastic_Percentage,Paper_Cardboard_Percentage,Glass_Percentage,Metal_Percentage,Other_Waste_Percentage,Recycling_Rate_Percentage,Population,Total_MSW_Generated_Tons_Month,Agricultural_Waste_Tons_Year,Construction_Demolition_Waste_Tons_Year,E_Waste_Tons_Year,Hazardous_Waste_Tons_Year,Medical_Waste_Tons_Year,Total_Annual_MSW_Tons_Year,Waste_Collection_Coverage_Population_Percentage,Waste_Collection_Coverage_Waste_Percentage,Compost_Treatment_Percentage,Incineration_Percentage,Data_Source
Alexandria Region,Beheira,Lower Middle Income,2023-11,3700,57.8,14.6,12.3,2.3,2.8,10.2,16.4,6681279,100219,2140016,297185,6210,27697,7551,1219333,46.7,40.6,13.7,1.8,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2023-12,3700,56.8,12.1,7.8,4.9,1.8,16.6,16.5,6690633,100359,2140016,297185,6210,27697,7551,1221041,35.1,29.6,11.1,2,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2024-01,3200,58.1,14.8,12.3,3.1,2.7,9,16.8,6700000,100500,2063709,277740,5773,27552,7455,1222750,42.3,36.5,10.7,2.6,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2024-02,3200,50.5,13.9,10.7,7.5,3.4,14.1,17.8,6709380,100641,2063709,277740,5773,27552,7455,1224462,35.5,30,10.4,2,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2024-03,3200,65.6,16.3,3.8,0.5,9.6,4.1,16.4,6718773,118923,2063709,277740,5773,27552,7455,1226176,36,30.4,10.2,2.5,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2024-04,3200,54.8,17.4,9.5,2.5,3.5,12.3,17.5,6728179,100923,2078165,298652,5773,29820,7760,1227893,47.2,41.1,13.9,2.1,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2024-05,3200,55.3,10.1,14.3,9.6,2.5,8.1,16.7,6737598,101064,2078165,298652,5773,29820,7760,1229612,42.9,37,13.5,2.3,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2024-06,3200,56.6,12.8,12.7,0.5,0.5,16.8,17.3,6747031,101205,2078165,298652,5773,29820,7760,1231333,47.2,41.1,11,1.9,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2024-07,3200,53.9,9.4,4.1,15.4,5.6,11.7,18,6756477,101347,2164819,292864,5928,28595,7323,1233057,38.2,32.5,10.6,1.7,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2024-08,3200,55.7,11.6,12.5,4.3,3.2,12.7,17.7,6765936,101489,2164819,292864,5928,28595,7323,1234783,48.9,42.7,12.8,1.5,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2024-09,3200,55.8,23,6.8,0.6,2.6,11.3,17.5,6775408,101631,2164819,292864,5928,28595,7323,1236512,44.9,33.1,10.5,2.2,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2024-10,3200,51.3,14.6,12.8,6.7,1.6,13,17.7,6784894,101773,2029456,298587,5880,28942,7471,1238243,45.8,39.8,10.8,2.4,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2024-11,3200,57.5,6.2,12.2,0.5,11.2,12.5,18.4,6794393,101916,2029456,298587,5880,28942,7471,1239977,40.4,29.4,13.2,2.1,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2024-12,3200,55.3,9.6,7.3,13.3,6.8,7.7,18,6803905,102059,2029456,298587,5880,28942,7471,1241713,35.9,30.4,12.4,2.4,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2025-01,3350,52.2,15,7.6,4.4,2.6,18.3,18.5,6813430,102201,2220983,290878,5836,29475,7647,1243451,41.7,35.8,11.3,2.2,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2025-02,3350,55,14.1,8.6,0.5,12.2,9.5,18.5,6822969,102345,2220983,290878,5836,29475,7647,1245192,43.7,37.7,13.4,2.6,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2025-03,3350,63,6.1,8.4,5.8,0.5,16.1,18.4,6832521,120936,2220983,290878,5836,29475,7647,1246935,47.9,41.7,13.6,2.6,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2025-04,3350,51,16.4,14.3,1.5,3.1,13.7,19.7,6842087,102631,2038614,278264,5939,28113,7743,1248681,46.5,34.4,13,1.9,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2025-05,3350,54.3,12.1,9.9,2.8,3.1,17.8,19.2,6851666,102775,2038614,278264,5939,28113,7743,1250429,42.6,36.7,13.3,1.4,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2025-06,3350,56.1,15.1,12.4,3.1,4.1,9.1,18.3,6861258,102919,2038614,278264,5939,28113,7743,1252180,37.5,31.9,13.9,1.3,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2025-07,3350,62.8,2,9.9,9,0.5,15.8,19.3,6870864,103063,2171892,285007,6337,30140,7917,1253933,41.8,36,11.1,2.1,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2025-08,3350,56.6,12.3,14.8,5.1,0.5,10.6,19,6880483,103207,2171892,285007,6337,30140,7917,1255688,40.4,29.4,13,1.9,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2025-09,3350,46.8,11.5,13.3,8.3,1.3,18.8,19.8,6890116,103352,2171892,285007,6337,30140,7917,1257446,44.7,38.7,10.3,1.5,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2025-10,3350,54.5,8.9,7.1,0.5,9.2,19.9,19.3,6899762,103496,2181266,304558,6453,30527,7801,1259207,41.6,35.8,11.7,1.7,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2025-11,3350,58.7,13.9,11.6,0.6,0.6,14.6,19.7,6909421,103641,2181266,304558,6453,30527,7801,1260969,36.7,31.1,10.7,2.4,Waste Management Regulatory Authority (WMRA) - Annual Report
Alexandria Region,Beheira,Lower Middle Income,2025-12,3350,53,11.2,10.5,9.3,1.8,14.1,20.1,6919095,103786,2181266,304558,6453,30527,7801,1262735,49.9,43.7,12.8,1.5,Waste Management Regulatory Authority (WMRA) - Annual Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2021-01,3690,58.7,15,7.4,4.5,5.1,9.4,11.5,3328088,49921,991208,137697,2946,14780,3869,607376,43.1,37.2,11.4,2.1,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2021-02,3690,56.1,17.2,6.4,4.4,5.1,10.8,12,3332748,49991,991208,137697,2946,14780,3869,608227,37.7,32,12.7,1.9,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2021-03,3690,58,13.9,4.2,5.7,0.5,17.6,12.1,3337414,50061,991208,137697,2946,14780,3869,609078,36.4,30.9,13.7,1.3,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2021-04,3690,57.4,12.1,15,5.7,0.5,9.4,12.1,3342086,59155,1045751,143784,2959,14449,3623,609931,45.6,39.6,13.1,2.6,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2021-05,3690,56.1,15.2,12,0.6,0.5,15.6,13.2,3346765,50201,1045751,143784,2959,14449,3623,610785,41.7,35.9,13.6,2,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2021-06,3690,52,20.3,9.5,10.5,0.5,7.2,12.9,3351450,50272,1045751,143784,2959,14449,3623,611640,35.2,25.2,12.4,2.3,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2021-07,3690,52.8,18.3,17.5,0.7,1.2,9.6,12.3,3356142,50342,1050715,147340,3038,14059,3646,612496,47.3,41.2,11.7,1.4,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2021-08,3690,48.1,15.8,10.8,4.2,0.5,20.6,13.3,3360841,50413,1050715,147340,3038,14059,3646,613353,37,31.4,11.2,1.9,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2021-09,3690,56.5,15.7,4.3,3.3,4.4,15.9,13.9,3365546,50483,1050715,147340,3038,14059,3646,614212,37.9,32.3,10.5,2.4,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2021-10,3690,56.5,15.1,5.4,4.9,3.4,14.7,13.6,3370258,50554,1002325,149137,2937,14530,3765,615072,38.4,32.7,11.7,1.7,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2021-11,3690,60.3,8.5,5.2,0.5,6.9,18.6,12.7,3374976,50625,1002325,149137,2937,14530,3765,615933,41.2,35.4,11,2.4,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2021-12,3690,63,15.1,1.7,0.5,4,15.7,13.3,3379701,50696,1002325,149137,2937,14530,3765,616795,42.8,36.9,12.2,2.2,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2022-01,4295,53.7,14.1,10,4.3,0.5,17.4,14.1,3384433,50766,1003400,145640,2905,14684,3802,617659,41.6,35.8,11.5,2.6,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2022-02,4295,58.8,8.4,7.3,2.8,7.6,15.1,13.4,3389171,50838,1003400,145640,2905,14684,3802,618524,48.4,42.2,11.8,1.3,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2022-03,4295,55,7.9,13.1,1.5,2.6,20,14.1,3393916,50909,1003400,145640,2905,14684,3802,619390,49.7,43.5,12.7,2.2,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2022-04,4295,68.1,6.9,3.1,3.9,0.5,17.5,14.3,3398667,60156,1043196,139285,3182,14670,3704,620257,41.2,35.4,13.2,2.7,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2022-05,4295,48.9,11.6,6.2,9.5,12.6,11.1,13.7,3403425,51051,1043196,139285,3182,14670,3704,621125,37.8,32.1,13.9,2.2,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2022-06,4295,63.4,14.8,10,0.7,0.6,10.5,14.3,3408190,51123,1043196,139285,3182,14670,3704,621995,36.6,31.1,12.2,2.1,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2022-07,4295,59.5,11.1,0.5,6.1,3,19.8,13.1,3412962,51194,1014616,145383,2946,14097,3732,622866,37.5,31.9,12.3,1.8,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2022-08,4295,67.8,8.5,1.3,1.2,0.6,20.7,14.1,3417740,51266,1014616,145383,2946,14097,3732,623738,45.6,39.6,11.6,1.4,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2022-09,4295,57.1,18,4.8,8.1,6,6,14.6,3422525,51338,1014616,145383,2946,14097,3732,624611,41.6,35.8,14,2.1,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2022-10,4295,58.9,12.9,11.1,0.5,7.9,8.7,14.3,3427316,51410,1066002,145633,3102,14819,3891,625485,41.1,35.3,11.8,2.3,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2022-11,4295,52,14.3,5.3,10.5,3.5,14.6,15.6,3432114,51482,1066002,145633,3102,14819,3891,626361,49.1,42.9,13.9,2.7,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2022-12,4295,51.4,22.1,5.4,8.5,0.5,12.1,14.5,3436919,51554,1066002,145633,3102,14819,3891,627238,37.7,32.1,10.1,2,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2023-01,3700,55.2,16.1,4.6,7.8,6.8,9.5,15,3441731,51626,1082166,148928,3165,14563,3760,628116,40,34.3,10.4,2.7,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2023-02,3700,63.1,7.3,7.9,5.9,0.5,15.3,15.4,3446550,51698,1082166,148928,3165,14563,3760,628995,46.6,40.6,13.4,1.8,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2023-03,3700,55.4,10.7,11.6,2.6,3.4,16.2,16.1,3451375,61090,1082166,148928,3165,14563,3760,629876,38.5,32.8,11.8,1.6,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2023-04,3700,61.6,16.7,5.6,6.2,0.5,9.3,15,3456207,51843,1119197,139436,3039,14437,3763,630758,49,42.8,12.4,2.5,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2023-05,3700,57.9,9.7,13.6,7.4,0.5,10.9,16.2,3461045,51916,1119197,139436,3039,14437,3763,631641,41.7,30.4,10.5,1.5,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2023-06,3700,52.1,11.6,12.4,3.2,0.8,19.9,15.9,3465891,51988,1119197,139436,3039,14437,3763,632525,47.6,41.5,10.1,2.2,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2023-07,3700,48.1,18.2,8,3.8,0.9,20.9,15.6,3470743,52061,1112389,147912,3177,15100,3849,633411,43.7,37.7,11.2,1.4,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2023-08,3700,56.2,14.4,13.4,0.6,0.6,14.9,16.3,3475602,52134,1112389,147912,3177,15100,3849,634297,47,40.9,12.7,1.8,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2023-09,3700,53.8,10,8.8,6.9,1.7,18.9,16.4,3480468,52207,1112389,147912,3177,15100,3849,635185,49.5,43.3,13.8,1.3,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2023-10,3700,60.3,9.2,20.3,1.6,0.6,8,16.2,3485341,52280,1109974,145065,3242,15160,3949,636075,40.6,34.8,10.5,1.3,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2023-11,3700,57.7,11.1,8.4,3.2,6.8,12.8,16.5,3490220,52353,1109974,145065,3242,15160,3949,636965,39,33.3,12.6,1.3,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2023-12,3700,57,11.8,12.4,6.2,2.6,10.1,16.5,3495106,52427,1109974,145065,3242,15160,3949,637857,48.4,42.3,11.5,2,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2024-01,3200,49.9,13.1,6.6,4.1,6.8,19.5,16.8,3500000,52500,1109237,141702,3179,15226,3780,638750,35.2,29.7,12,1.3,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2024-02,3200,52.5,18.1,6.6,6,7.6,9.2,17.2,3504900,52574,1109237,141702,3179,15226,3780,639644,36.8,31.2,13.4,2,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2024-03,3200,52.6,17.3,5.5,0.4,7.8,16.3,17.7,3509806,62123,1109237,141702,3179,15226,3780,640540,43.1,37.2,11.4,2.3,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2024-04,3200,53.5,11.9,7.5,4.7,8.6,13.8,16.7,3514720,52721,1113444,153728,3139,14353,3995,641436,36,30.5,13.6,1.6,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2024-05,3200,64.6,9.4,9.8,2.5,0.5,13.2,18.2,3519641,52795,1113444,153728,3139,14353,3995,642334,37.7,32.1,12.6,1.6,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2024-06,3200,48.5,12.6,15.6,5,6.4,12,16.7,3524568,52869,1113444,153728,3139,14353,3995,643234,43.5,37.6,13.9,1.5,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2024-07,3200,55.2,19.7,10.8,0.4,0.6,13.2,17.5,3529503,52943,1142776,145306,3182,15020,4118,644134,38.2,32.5,10.4,2.7,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2024-08,3200,54.7,15.1,11.2,3.8,0.5,14.6,17.9,3534444,53017,1142776,145306,3182,15020,4118,645036,43.1,37.2,12.1,2.6,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2024-09,3200,55.4,15,10.6,7,1.4,10.6,18,3539392,53091,1142776,145306,3182,15020,4118,645939,45.4,39.4,10.3,1.9,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2024-10,3200,56,13.2,8.9,9.5,1.2,11.4,17.8,3544347,53165,1115001,150886,3265,15060,4017,646843,39.9,34.1,12.2,2,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2024-11,3200,57.4,10.2,9.7,5.1,0.4,17.1,18,3549309,53240,1115001,150886,3265,15060,4017,647749,45.6,39.6,12.9,1.5,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2024-12,3200,54.2,17.9,6.8,4.1,2.9,14,18.1,3554278,53314,1115001,150886,3265,15060,4017,648656,43.2,37.3,13.6,2.7,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2025-01,3350,62.3,16.7,5.3,6.9,0.6,8.2,18.2,3559254,53389,1129325,157835,3253,14446,3865,649564,45.9,39.9,11.8,1.8,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2025-02,3350,55.4,10,5.6,8.4,4.1,16.5,18.8,3564237,53464,1129325,157835,3253,14446,3865,650473,49.8,43.6,10.1,1.8,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2025-03,3350,54.2,20.7,6.6,9.8,2.3,6.5,18.8,3569227,63175,1129325,157835,3253,14446,3865,651384,44.4,32.6,13.6,2.1,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2025-04,3350,59.9,14.6,6,0.5,2.9,16,18.5,3574224,53613,1151247,151082,3310,15741,3904,652296,49.1,42.9,10.5,2.5,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2025-05,3350,49.9,18.6,8.7,0.5,7.4,14.9,19.3,3579228,53688,1151247,151082,3310,15741,3904,653209,45.6,39.6,13.4,1.9,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2025-06,3350,57.5,13.9,9.3,3,4.6,11.6,19.2,3584239,53764,1151247,151082,3310,15741,3904,654124,36.1,30.5,12.8,1.9,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2025-07,3350,51.3,15.1,9.2,3.8,7.4,13.3,19.5,3589257,53839,1134226,149589,3271,15588,4113,655039,40.4,34.6,10.1,2,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2025-08,3350,55.1,10.4,11.5,5.1,6.4,11.4,19.6,3594282,53914,1134226,149589,3271,15588,4113,655956,37.7,27.2,10.7,2.7,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2025-09,3350,55.8,16.7,11.1,0.5,8.5,7.4,19.2,3599314,53990,1134226,149589,3271,15588,4113,656875,39.6,33.9,11.9,1.8,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2025-10,3350,55.8,7.4,16.5,0.5,7.1,12.7,19.4,3604353,54065,1129652,152069,3340,14974,3907,657794,43.4,37.5,10.1,2.5,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2025-11,3350,55.5,14,12.7,0.5,0.5,16.8,20,3609399,54141,1129652,152069,3340,14974,3907,658715,47.4,41.3,13.3,2.4,Waste Management Regulatory Authority - Governorates Report
North Upper Egypt Region,Beni Suef,Lower Middle Income,2025-12,3350,48.3,10.5,21.7,0.5,7.4,11.5,20.1,3614452,54217,1129652,152069,3340,14974,3907,659637,42.2,36.3,12.1,1.4,Waste Management Regulatory Authority - Governorates Report
Greater Cairo Region,Cairo,Middle/High Urban,2021-01,3690,51,13.7,12.5,2.9,9.7,10.2,12,9794089,264440,3063377,421840,8831,43648,11137,3217358,88.1,83.7,12.7,2.2,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2021-02,3690,59.8,14.5,5.8,3.1,3.9,12.9,12.6,9807801,264811,3063377,421840,8831,43648,11137,3221863,86.1,81.8,12,1.4,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2021-03,3690,59.1,8.7,13.2,6.7,2.6,9.7,12.1,9821532,265181,3063377,421840,8831,43648,11137,3226373,83.9,79.7,13.4,2.2,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2021-04,3690,63.6,11.8,2.9,0.5,0.5,20.6,12.6,9835282,313353,2965921,424568,8807,41834,11130,3230890,88.2,83.8,13,1.8,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2021-05,3690,52.1,14.5,11,4.2,7.9,10.4,12.4,9849052,265924,2965921,424568,8807,41834,11130,3235414,89.1,84.6,12.9,2.6,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2021-06,3690,50.7,14.5,4.3,14.6,2.7,13.1,12.6,9862840,266297,2965921,424568,8807,41834,11130,3239943,85.8,81.5,13.7,2.7,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2021-07,3690,58.4,15.9,9.7,4.2,0.5,11.3,13.2,9876648,266669,3161946,418260,9003,43908,11465,3244479,89.7,85.2,11,1.6,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2021-08,3690,52.8,13.4,13.4,3.4,0.5,16.5,13.2,9890476,267043,3161946,418260,9003,43908,11465,3249021,88.5,84.1,12.1,1.3,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2021-09,3690,48.6,13,7.4,6.4,13.1,11.4,13.4,9904322,267417,3161946,418260,9003,43908,11465,3253570,84.8,80.5,10.7,2.6,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2021-10,3690,54.1,11.5,13.3,0.5,3.9,16.7,13.7,9918188,267791,3052367,413541,8892,40616,11272,3258125,88.2,83.8,13.9,1.3,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2021-11,3690,52.7,15.3,11.4,0.4,5.7,14.4,13.3,9932074,268166,3052367,413541,8892,40616,11272,3262686,86.5,82.2,12,1.6,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2021-12,3690,67,7.1,8.2,0.6,0.6,16.5,13.8,9945979,268541,3052367,413541,8892,40616,11272,3267254,89,84.5,10.5,1.3,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2022-01,4295,49.3,21.9,8.8,8.5,0.5,11.1,13.5,9959903,268917,2962295,436921,9183,43389,11402,3271828,84.9,80.7,13.6,1.8,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2022-02,4295,56,9.3,8.2,3.2,2,21.4,13.8,9973847,269294,2962295,436921,9183,43389,11402,3276409,83.2,79.1,12,2.7,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2022-03,4295,53.9,14,11.5,6,2.6,12,13.8,9987810,269671,2962295,436921,9183,43389,11402,3280996,88.1,83.7,10.5,1.4,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2022-04,4295,53.7,15,12.3,2.6,5.1,11.3,14,10001793,318657,3141818,425869,9038,41636,11863,3285589,89.7,85.2,11.2,2.3,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2022-05,4295,54,10.9,8.9,9.1,3.1,14,14.3,10015796,270426,3141818,425869,9038,41636,11863,3290189,85.5,81.3,12.5,2.7,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2022-06,4295,57.4,13.6,10.5,0.8,3.6,14,14,10029818,270805,3141818,425869,9038,41636,11863,3294795,88.8,84.3,13.4,2.5,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2022-07,4295,56.2,13.3,6.1,2.5,3.4,18.6,15.2,10043860,271184,3126645,427535,8944,41498,11455,3299408,88.4,83.9,12.6,1.4,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2022-08,4295,50.5,9.2,10.3,9.8,5.9,14.3,14.1,10057921,271564,3126645,427535,8944,41498,11455,3304027,84.6,80.4,13.1,2.4,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2022-09,4295,51.2,16.3,12.2,5.4,6.4,8.4,14.2,10072002,271944,3126645,427535,8944,41498,11455,3308653,84.4,80.2,11.8,1.7,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
Greater Cairo Region,Cairo,Middle/High Urban,2022-10,4295,56.3,15.5,11.7,2.1,7.1,7.4,15.3,10086103,272325,3258186,449082,8717,43254,11848,3313285,86.2,69.6,12.7,1.5,Waste Management Regulatory Authority (WMRA) - Greater Cairo Report
